PostId,TypeId,IsBest,Score,API,Sentences
734866,2,1,6,java.io.IOException,"Close, but catching an IOException won't work because that exception type is not thrown by the parseInt() method."
1292340,2,1,3,java.io.IOException,"Something can go wrong but there is little you can do (example: some server on the Internet died) Something can go wrong and the existing exception doesn't carry enough information to find out what happened (think IOException(""Can't read file"") vs. IOException(""Can't read file ""+file) vs. IOException(""Can't read file ""+file.getAbsolutePath()))."
2042360,2,0,3,java.io.IOException,The second catch (IOException) should not log and should throw the exception.
2067598,2,1,5,java.io.IOException,You'll need to write the zip into a temporary folder of the server's local disk file system first and then stream from it and finally delete the file only when the download is successfully completed (i.e. the out.close() didn't throw IOException).
2493599,2,0,0,java.io.IOException,"FInally, data reception is not acknowledged by the other side, but if you don't get any IOException after sending data, you can pretty sure it has been received by the other application."
3520619,2,0,1,java.io.IOException,So class2.m1 can throw anything which inherits from the original exception but it can't widen the exception (like throwing Throwable) or throw a completely different exception (IOException doesn't inherit from RemoteException).
4377327,2,1,1,java.io.IOException,"java.io.IOException: Cannot run program  ""d:\program files\postgres\bin""  This error indicates that the spaces in the path confuse the exec() call (and the directory bin is indeed nothing that Windows can run) Make sure you enclose the full path to the .exe with double quotes because of the spaces."
4464659,2,1,2,java.io.IOException,"The method calling actionPerformed isn't expecting an IOException, so it can't possibly handle it."
4520358,2,0,1,java.io.IOException,"That means, that if there's no configuration file, don't throw IOException and exit."
4677429,2,1,14,java.io.IOException,"(In C# there's a nicer option: a method to return an IEnumerable<string> which you can iterate over with foreach; that isn't as nice in Java because there's no auto-dispose at the end of an enhanced for loop... and also because you can't throw IOException from the iterator, which means you can't just make one a drop-in replacement for the other.)"
5101985,2,1,0,java.io.IOException,"Cause: java.io.IOException: Could not find resource file:comfile.separatorplatysgroupfile.separatorlmexserverfile.separatormobilefile.separatordaofile.separatoribatis{file.separator}lmexusermobileinfo.xml indicates that the requested sqlMapConfig.xml is not placed properly,Place it in the src folder."
5162754,2,1,3,java.io.IOException,"But as writing from the socket send buffer is asynchronous, that condition doesn't necessarily hold: it depends on the size of the write, the latency, the bandwidth, the prior state of all the buffers ... so the IOException isn't always thrown."
5631186,2,0,2,java.io.IOException,"the IOException is not a Runtime exception, and should be declared in the signature of the method."
5951643,2,0,1,java.io.IOException,"'Failed to execute command ([\'sh\',   \'-c\', \'env\']):   java.io.IOException: Cannot run   program ""sh"":  Implies that jython is configured to think it's running on a UNIX system of some sort."
5967368,2,0,0,java.io.IOException,I thought you didn't see the real error because IOException didn't wrap it.
6924482,2,0,2,java.io.IOException,IOException is not something that you can avoid because it might happen because of circumstances outside your control.
7047649,2,0,1,java.io.IOException,"The javadoc does not specify what those I/O errors might be, but possibilities might include such things as:  the address to which you have bound is no longer valid a transport protocol error has occurred some error (resource issue, bug ...) occurred in the OS protocol stack  (The fact that the javadoc doesn't say which IOException subclasses might be thrown is a hint that you shouldn't try to do clever things to try to recover."
7252792,2,0,0,java.io.IOException,"}catch(IOException e)       {         kickPlayer();     }catch(Exception e)     {         kickPlayer();     }  I think you don't need the IOException Catch (the Exception catch, catches every kind of exception)"
7750162,2,1,3,java.io.IOException,"For instance, if I've an interface PDFDocument with a method save(), it shouldn't throw an IOException, because you could have an implementation saving to database, another to filesystem and a third saving to a remote site."
7764522,2,0,0,java.io.IOException,You can keep it open for as long as you dont' read EOS from it and don't get IOException: connection reset when writing to it.
8009755,2,0,0,java.io.IOException,"Also, closing the socket normally shouldn't throw IOException - but the accept() will do so if the socket is closed concurrently."
8189964,2,0,5,java.io.IOException,the catch block for the IOException is not required and can never execute (i.e. it is unreachable).
8921685,2,0,0,java.io.IOException,Unless ZZException is a subclass of IOException the method as documented cannot throw an IOException.
8921696,2,0,1,java.io.IOException,"Unless ZZException is the superclass of IOException, IOException can't be thrown out in place of ZZException."
9232699,2,0,3,java.io.IOException,"java.io.IOException: Cannot run program ""C:\Program"": CreateProcess error=193, %1 isn't a Win32 valid application  That says that you have a problem with your application path."
9281721,2,1,6,java.io.IOException,"It throws IOException:  java.io.IOException: Cannot run program ""C:\Windows\System32\osk.exe"": CreateProcess error=740, The requested operation requires elevation The trick is to run the command via command shell (cmd): Runtime.getRuntime().exec(""cmd /c C:\\Windows\\System32\\osk.exe""); This line works fine on my machine."
9441410,2,0,9,java.io.IOException,"So you might be thinking, well, runtime exceptions are for unanticipated runtime problems, then why the heck isn't an IOException a runtime exception!"
29610192,2,0,1,java.io.IOException,Compiler says : Exception IOException is not compatible with throws clause in Plants.eat()
9917030,2,1,4,java.io.IOException,An IOException doesn't necessarily mean 'the remote forcibly closed the connection'.
10002394,2,0,1,java.io.IOException,"In contrast, the forms public abstract AudioFileFormat getAudioFileFormat(URL url) throws UnsupportedAudioFileException, IOException;  and public abstract AudioFileFormat getAudioFileFormat(File file) throws UnsupportedAudioFileException, IOException;  do NOT make this requirement."
10593660,2,0,0,java.io.IOException,"Because IOException is not RuntimeException, so it should be catched only if the block of code inside the try ... catch have any the method which declared throws IOException."
10596802,2,1,2,java.io.IOException,"If you can't throws IOException, at least throw a runtime exception wrapping the original IOException."
11092061,2,0,2,java.io.IOException,It doesn't throw an IOException unless there's some other sort of error.
24891007,2,0,4,java.io.IOException,"Attempting to read the first byte from the client may throw an IOException, but we may have to attempt that in a place where an IOException isn't expected, in which case we keep the exception around and throw it later."
21339295,2,0,0,java.io.IOException,"javax.faces.el.EvaluationException: java.io.IOException: Cannot run program ""pwd;ls"": error=2, No such file or directory Having said that though there is a situation when this can be a problem."
11279408,2,1,1,java.io.IOException,But the downside is that you also force callers of the other subclasses to handle the IOException ... which won't occur.
11784367,2,0,1,java.io.IOException,This may be useful in cases where you want to display application specific exceptions instead of java provided exceptions  (IOException may not be perfect case to understand this).
11939528,2,1,2,java.io.IOException,"Basically, you don't need throws IOException."
12190785,2,0,1,java.io.IOException,Obviously IOException is not a NullPointerException thats why id doesn't go in the catch block.
12203555,2,1,3,java.io.IOException,"Oh, and the IOException isn't likely to happen because the stream is coming from another process."
12244232,2,1,4,java.io.IOException,"As InputStream only has read() methods, it only returns -1: it doesn't throw an IOException at EOS."
