PostId,TypeId,IsBest,Score,API,Sentences
219891,2,0,29,java.lang.NullPointerException,"In the latter case, if obj is null you won't get a NullPointerException but a false."
888105,2,1,40,java.lang.NullPointerException,"Note that parse() will never return null, so this cannot cause a NullPointerException."
1222446,2,0,10,java.lang.NullPointerException,A NullPointerException is not only thrown when trying to call a method on a null; trying to access an index in an array through a null will have the same effect.
1336398,2,0,3,java.lang.NullPointerException,"For example, if you pass a null reference to a method that doesn't allow nulls (NullPointerException) or if you do an Integer.parseInt, a given String the result will be the same every time."
2146288,2,0,0,java.lang.NullPointerException,"It doesn't prevent you from passing null arguments to your constructor though... You can still check every argument as suggested by @cletus, but I'll suggest you to throw IllegalArgumentException instead of NullPointerException that doesn't give no new hint about what you've done."
2291248,2,0,2,java.lang.NullPointerException,NullPointerException can not be thrown in a line without a statement.
2683114,2,0,3,java.lang.NullPointerException,This piece of code cannot produce NullPointerException.
2830189,2,1,19,java.lang.NullPointerException,"No, that line won't throw a NullPointerException under any circumstances."
2926905,2,1,24,java.lang.NullPointerException,See also  Bug 314830 - Switching on a null expression doesn't always throw NullPointerException
2997863,2,0,24,java.lang.NullPointerException,A NullPointerException isn't reserved for just when you access members of a null reference; it's pretty standard to throw them when an argument is null when that's an illegal value.
3073448,2,0,0,java.lang.NullPointerException,Remove the call to create a new MaskableBox array and you won't get the NullPointerException.
3141265,2,0,1,java.lang.NullPointerException,"That's why the interface has to mention the checked exception; because, if it didn't, then you couldn't throw a NullPointerException from the subclass should you have wanted to make sure that nobody every touched the list with a null."
3228944,2,0,1,java.lang.NullPointerException,"Given the code you're showing, there can't be a NullPointerException."
3241111,2,1,14,java.lang.NullPointerException,If you forgot to test for null and someone does come with a null argument that you weren't expecting it then a NullPointerException is not necessarily the worst possible outcome.
3458534,2,0,3,java.lang.NullPointerException,For example - return or throw an IllegalStateException And what you shouldn't do - don't catch NullPointerException.
3504086,2,0,2,java.lang.NullPointerException,"Note that this doesn't throw a NullPointerException, even though l is assigned to null."
12125971,2,0,4,java.lang.NullPointerException,Also the code doesn't check NullPointerException and friends.
4369583,2,1,7,java.lang.NullPointerException,But a delay of 3 seconds gives my GUI thread enough time to be in ready state and hence it doesn't through NullPointerException.....
4776934,2,0,5,java.lang.NullPointerException,"While it may seem obvious to you that you want a HashMap, so it should just implicitly initialize it, Java doesn't know if you want in fact a HashMap, or maybe a HashMap subclass, like LinkedHashMap Class-level primitives, like int can be left just like private static int someNumber; and won't throw a NullPointerException by accessing it--but that's because primitives can't be null."
4778535,2,0,5,java.lang.NullPointerException,"No, catching NullPointerException is not an appropriate thing to do."
5710237,2,0,1,java.lang.NullPointerException,"which while it isn't the NullPointerException you got, it does demonstrate that there's a serialization issue that Sean alludes to is his answers."
5857144,2,1,0,java.lang.NullPointerException,A NullPointerException shouldn't happen during compilation: either you get a clear compilation error during parsing (which includes line number) or it works.
5897852,2,0,1,java.lang.NullPointerException,If you don't handle NullPointerException at any place this will go all the back in the stack to main and terminate your program.
6150747,2,0,1,java.lang.NullPointerException,"For example, certain code might   implement a circular data structure   that, by construction, can never   involve null references; the   programmer can then be certain that a   NullPointerException cannot occur, but   it would be difficult for a compiler   to prove it."
6339262,2,0,0,java.lang.NullPointerException,"No, it won't cause a NullPointerException, because of how the if statement is written."
6554161,2,1,1,java.lang.NullPointerException,I didn't get any NullPointerException or any other type of exception.
6954020,2,1,3,java.lang.NullPointerException,I couldn't reconstruct the NullPointerException you told us about.
9798487,2,0,0,java.lang.NullPointerException,"Of course, the problem might be that the branch or statement is infeasible and that the NullPointerException cannot ever be thrown."
7031978,2,1,15,java.lang.NullPointerException,"It doesn't risk a NullPointerException (if object is null, it will just evaluate to false) It's shorter."
7041950,2,0,2,java.lang.NullPointerException,"If you cannot stop the NullPointerException with null checks, then the only alternative is to catch it."
7041950,2,0,2,java.lang.NullPointerException,"However, I cannot think of an instance where null checks cannot prevent a NullPointerException."
7627839,2,0,2,java.lang.NullPointerException,(except you wouldn't have the NullPointerException)
7767396,2,0,0,java.lang.NullPointerException,"As gabe suggested, Intellij idea community edition compiles the code fine and doesn't cause the NullPointerException."
7946510,2,0,9,java.lang.NullPointerException,"Due to the fact, that getClass() can't return null (EDIT: Even if getClass() would return null, that wouldn't cause a NullPointerException), oldFact must be the one which is null."
8082576,2,1,6,java.lang.NullPointerException,"Likewise, you may document @throws NullPointerException to state when this may occur, even if you don't declare throws NullPointerException, since it's an unchecked exception and does not need to be (and generally is not) written in the method signature."
