PostId,TypeId,IsBest,Score,API,Sentences
1378156,2,1,9,java.math.BigDecimal,"If you are developing a low-latency trading program and you genuinely want to compete in latency terms, then BigDecimal is not for you, it is as simple as that."
1768123,2,1,1,java.math.BigDecimal,"You're not dealing with money, so double should be enough, but if it isn't, then perhaps BigDecimal is more suitable."
1973763,2,0,0,java.math.BigDecimal,People don't just use BigDecimal / BigInteger for money.
2173530,2,0,4,java.math.BigDecimal,BigDecimal does not provide these methods because BigDecimal models a rational number.
2406243,2,0,3,java.math.BigDecimal,"Also, when using BigDecimal, don't use the double constructor, because that would attempt to precisely represent an imprecise value."
2916961,2,1,2,java.math.BigDecimal,"http://java.sun.com/javaee/5/docs/api/javax/persistence/Column.html#precision%28%29 So it would appear hibernate is right to ignore it, as your column type isn't a BigDecimal etc, and just make a column that holds a 32-bit integer."
2920124,2,0,2,java.math.BigDecimal,You can't cast a BigDecimal directly to String.
2950569,2,0,1,java.math.BigDecimal,"For decimal, I believe you risk losing precision if you don't use a BigDecimal on the Java side, as some decimal fractions can't be stored as a binary fraction."
9874839,2,0,2,java.math.BigDecimal,BigDecimal does not seem to respect Locale settings.
5222388,2,0,14,java.math.BigDecimal,"(Even BigDecimal won't be able to represent something like ""a third"" exactly, of course.)"
5257191,2,0,6,java.math.BigDecimal,"But note Jon's point below: BigDecimal can't represent ""one third"" accurately, any more than double can represent ""one tenth"" accurately."
5272419,2,0,1,java.math.BigDecimal,BigDecimal is not final.
5721797,2,1,2,java.math.BigDecimal,"I would recommend that before you jump to the conclusion that BigDecimal doesn't suit your needs, that you actually profile your scenario."
6476999,2,0,4,java.math.BigDecimal,"Don't extend BigDecimal, use a wrapper class around it (like you have) or another framework like Commons Math."
6649295,2,1,0,java.math.BigDecimal,"If you make them the same, it works you don't need BigDecimal if you only want to display things."
7124475,2,1,4,java.math.BigDecimal,However I wouldn't use BigDecimal unless performance/simplicity is not an issue.
7525300,2,1,9,java.math.BigDecimal,Don't directly compare BigDecimal to String as this won't work.
9526088,2,0,1,java.math.BigDecimal,"This is so interesting, because the obvious, double instead of BigDecimal, is not the case."
22686168,2,0,0,java.math.BigDecimal,It is pretty strange that Oracle hasn't supported BigDecimal NaN or infinite in JAVA 7.
10384695,2,0,0,java.math.BigDecimal,BigDecimal isn't intended to be used with such limitations.
