PostId,TypeId,IsBest,Score,API,Sentences
321454,2,0,5,java.sql.ResultSet,Note that your current solution won't close the ResultSet if closing the PreparedStatement  fails - it's better to use nested finally blocks.
1328553,2,0,0,java.sql.ResultSet,"If this is a temporary tool or you don't expect the ResultSet size to grow, this may work as a permanent solution."
1531707,2,1,1,java.sql.ResultSet,"The ResultSet object that you are getting via getObject() isn't the ResultSet of the CallableStatement, so it is by default not updatable."
1910129,2,0,3,java.sql.ResultSet,You can't use ResultSet after you've closed Connection and/or PreparedStatement.
1976760,2,0,2,java.sql.ResultSet,"That said, Oracle's JDBC driver didn't support ResultSet#getGeneratedKeys() for a long time and is still somewhat troublesome with it."
2037457,2,1,6,java.sql.ResultSet,"Since the query isn't valid, no ResultSet is returned and you get the null pointer."
2397128,2,1,4,java.sql.ResultSet,You shouldn't be passing ResultSet instances around.
2794221,2,0,3,java.sql.ResultSet,"No, ResultSet should not be exposed to more than one thread."
3040139,2,0,1,java.sql.ResultSet,"If I'm not mistaken, the default behavior for a ResultSet is not to obtain all the rows at once, so there is no way to know from the object itself how many rows would be returned from the query without first iterating (and thus retrieving) all of them."
3240526,2,0,0,java.sql.ResultSet,getting the MetaData for the ResultSet will not allow you to get the info that was passed in.
3412937,2,0,0,java.sql.ResultSet,Your ResultSet is not updatable.
3461799,2,0,2,java.sql.ResultSet,The scope and lifetime of the ResultSet can't be any wider than its parent Connection and Statement.
3920257,2,1,3,java.sql.ResultSet,"ResultSet does not advertise on the javadoc as being thread safe, so assume it is NOT."
4282172,2,0,4,java.sql.ResultSet,"Statement#executeUpdate() doesn't return a ResultSet, but an int representing the affected rows."
4285623,2,0,3,java.sql.ResultSet,"My simple answer is no, for the various reasons:  ResultSet doesn't conform to JavaBeans specification (it has no getters/setters method and it's not serializable)."
4507507,2,0,13,java.sql.ResultSet,If you don't close the ResultSet (cursor) it will throw  an error like Maximum open cursors exceeded.
4687133,2,1,1,java.sql.ResultSet,"You certainly aren't closing your resources properly in your method; you don't close the ResultSet at all, and you should close everything in a finally block."
4735874,2,0,3,java.sql.ResultSet,"For instance, you aren't closing your ResultSet or your Connection, not to mention the statement variable, which should definitely be local."
5157551,2,0,1,java.sql.ResultSet,"ResultSet does not store all the rows, it keeps a cursor open on the database."
5417409,2,0,3,java.sql.ResultSet,"It accepts only any type of Collection , ResultSet isn't."
5664864,2,0,7,java.sql.ResultSet,Your JTable shouldn't have a ResultSet.
5829065,2,1,1,java.sql.ResultSet,If you then look at the super classes or interfaces of org.alfresco.repo.search.impl.lucene.PagingLuceneResultSet I'd say you won't find any java.sql.ResultSet.
