PostId,TypeId,IsBest,Score,API,Sentences
131024,2,0,2,java.text.SimpleDateFormat,One gotcha to be aware of is that SimpleDateFormat is NOT thread-safe.
170169,2,0,21,java.text.SimpleDateFormat,SimpleDateFormat is not thread safe.
2083215,2,0,1,java.text.SimpleDateFormat,Be warned that SimpleDateFormat is not thread safe.
619453,2,1,5,java.text.SimpleDateFormat,"We chose to represent it in human-readable format ""yyyyMMddHHmmssSSS"", so it is easy to read request start time from it (beware: SimpleDateFormat is not thread-safe, so you need to either synchronize it or create a new one on each request)."
658104,2,0,7,java.text.SimpleDateFormat,"If you do, beware that SimpleDateFormat is not thread-safe and you may be exposing yourself to some potentially hard-to-debug issues!"
781346,2,0,1,java.text.SimpleDateFormat,And note that SimpleDateFormat is NOT thread-safe.
911101,2,0,6,java.text.SimpleDateFormat,"If you leave lax parsing on, you are prone to get a match when you didn't really want one, and the lexical space of XSD:DateTime leaves some flexibility in format that SimpleDateFormat can't handle in a single expression."
940613,2,0,10,java.text.SimpleDateFormat,I'm guessing you're jumping through these hoops since SimpleDateFormat is not thread-safe.
1470593,2,0,1,java.text.SimpleDateFormat,"A little off-topic, but I always feel the need to remind people that DateFormat and SimpleDateFormat are not thread safe!"
1554885,2,0,5,java.text.SimpleDateFormat,"If I remember correctly, SimpleDateFormat isn't flexible enough to accept other timezone formats (mine was +530)."
1653269,2,0,0,java.text.SimpleDateFormat,"You might want to consider using FastDateFormat from Apache commons, instead of SimpleDateFormat, because SimpleDateFormat is not thread safe."
1927839,2,0,0,java.text.SimpleDateFormat,"However, to (possibly) complicate the issue, note that SimpleDateFormat is not thread safe."
2089604,2,0,8,java.text.SimpleDateFormat,"Given that SimpleDateFormat isn't thread-safe, I'd say that the tidiest way is to use Joda Time instead."
2111906,2,1,4,java.text.SimpleDateFormat,"SimpleDateFormat is not thread-safe, yet you're sharing a static instance."
2168431,2,1,7,java.text.SimpleDateFormat,java.text.SimpleDateFormat is not thread-safe (not a lot of people know this!)
2318755,2,1,22,java.text.SimpleDateFormat,"In particular, the formatters/parsers in Joda Time are thread-safe, so you can reuse them freely and statically; java.text.SimpleDateFormat isn't thread-safe, so you either need to create one per thread or serialize access to it with a synchronized block."
2458581,2,1,15,java.text.SimpleDateFormat,I've not dealt with exceptions and concurrency here (as SimpleDateFormat is not synchronized when parsing date).
3139752,2,1,3,java.text.SimpleDateFormat,"While a Date object is indeed in UTC, your SimpleDateFormat may not be."
3207602,2,1,6,java.text.SimpleDateFormat,"reference is used to compensate for different timezones and there is no problem with daylight saving time because SimpleDateFormat does NOT use the actual date, it return the Epoc date (January 1st, 1970 = no DST)."
3365030,2,0,3,java.text.SimpleDateFormat,ParseException is caused since you didn't provide a date format structure so the SimpleDateFormat didn't know how your date was structured.
4014052,2,0,0,java.text.SimpleDateFormat,"Use SimpleDateFormat, with the pattern as yyy-MM-dd'T'HH:mm:ss.SSSZ  Update SimpleDateFormat won't work with ISO 8601 date format."
4120355,2,0,5,java.text.SimpleDateFormat,"Don't use SimpleDateFormat, use joda-time's DateTimeFormatter instead."
4216767,2,1,700,java.text.SimpleDateFormat,Important note is that SimpleDateFormat is not thread safe.
13804776,2,0,3,java.text.SimpleDateFormat,Also SimpleDateFormat is not available with some of the client side technologies like gwt.
4541745,2,0,1,java.text.SimpleDateFormat,"The 'problem' with SimpleDateFormat is not performance, its thread safety."
4879591,2,1,3,java.text.SimpleDateFormat,"If you use the SimpleDateFormat to format a time from new Date(milliseconds), don't forget that SimpleDateFormat is time zone sensitive."
5174712,2,0,2,java.text.SimpleDateFormat,SimpleDateFormat does not deal with the localization of text other than the pattern letters; that's up to the client of the class.
5301262,2,0,7,java.text.SimpleDateFormat,"For example, you need to be aware that SimpleDateFormat is not thread-safe, so you either need thread-locals, synchronization, or a new instance each time you use it."
5397500,2,0,8,java.text.SimpleDateFormat,Casting ain't going to work since SimpleDateFormat doesn't return an instance of java.sql.Date.
5699481,2,1,2,java.text.SimpleDateFormat,It appears that SimpleDateFormat doesn't support ISO8601 time zone formats.
5897306,2,0,1,java.text.SimpleDateFormat,And then: Javadoc for SimpleDateFormat says:  Synchronization SimpleDateFormat is not thread-safe.
6280206,2,1,4,java.text.SimpleDateFormat,"Unfortunately, Java's SimpleDateFormat doesn't support that format properly, because it can't deal with the colon in the timezone."
6280248,2,0,3,java.text.SimpleDateFormat,Java SimpleDateFormat doesn't support colon in the timezone information.
6456776,2,0,0,java.text.SimpleDateFormat,"As mentioned in the previous answers, classes like Calendar and SimpleDateFormat are not thread-safe, so you cannot access them concurrently from multiple threads."
6841237,2,0,0,java.text.SimpleDateFormat,SimpleDateFormat do not accept all ISO8601 date-time formats .
6999592,2,1,2,java.text.SimpleDateFormat,"SimpleDateFormat may not be able to handle the xsd input format, so you can use the jaxb utils to handle that for you, see: http://download.oracle.com/javase/6/docs/api/javax/xml/bind/DatatypeConverter.html#parseDateTime(java.lang.String)"
7626055,2,0,0,java.text.SimpleDateFormat,For example: SimpleDateFormat is not thread safe - no Format is.
7681809,2,0,9,java.text.SimpleDateFormat,I believe that SimpleDateFormat will not parse timezones with a colon in them (-08:00).
22060655,2,0,0,java.text.SimpleDateFormat,I am sure most of you got frustrated from the fact that SimpleDateFormat can not handle ISO8601 format.
8037029,2,0,1,java.text.SimpleDateFormat,"SimpleDateFormat is not thread safe, so make sure to instantiate one SimpleDateFormat object for each threads (eg."
8256897,2,0,1,java.text.SimpleDateFormat,"your parse string expects an input containing "":"" among other things - your input doesn't contain a "":"" so of course SimpleDateFormat won't be able to interpret your input."
8345138,2,0,5,java.text.SimpleDateFormat,The fact that SimpleDateFormat is not thread-safe does not mean you cannot use it.
8345074,2,1,45,java.text.SimpleDateFormat,The threadunsafety of SimpleDateFormat should not be an issue if you just create it inside the very same method block as you use it.
8932098,2,1,4,java.text.SimpleDateFormat,"Personally I prefer to use Joda Time for all date and time operations in Java - including for parsing/formatting, as SimpleDateFormat isn't thread-safe, unlike Joda Time's parsers."
8956602,2,1,6,java.text.SimpleDateFormat,But SimpleDateFormat is not thread-safe:  Date formats are not synchronized.
8976811,2,0,0,java.text.SimpleDateFormat,"As Tudor mentions, SimpleDateFormat does not throw an exception when it fails to parse."
9024161,2,0,0,java.text.SimpleDateFormat,SimpleDateFormat does not provide this feature.
9157922,2,0,0,java.text.SimpleDateFormat,"But remember that, SimpleDateFormat is not thread-safe."
9323046,2,1,3,java.text.SimpleDateFormat,"SimpleDateFormat is not thread-safe, so make sure that you don't use the same instance from different threads, otherwise data parsing may become invalid."
9326362,2,0,1,java.text.SimpleDateFormat,"Note: As Alberto said, you should validate your input first using regular expressions, because SimpleDateFormat doesn't have a very tight matching with this usage and because it's always a good idea to validate input."
9515556,2,0,0,java.text.SimpleDateFormat,"Unfortunately, the time zone formats available to SimpleDateFormat are not ISO8601 compliant."
9515556,2,0,0,java.text.SimpleDateFormat,Therefore using SimpleDateFormat does not seem as an option in your case (since you use UTC−05:00 as timezone).
