PostId,TypeId,IsBest,Score,API,Sentences
57185,2,1,10,java.util.ArrayList,"The ArrayList class in Java has only two data members, a reference to an Object[] array and a size—which you need anyway if you don't use an ArrayList."
76393,2,0,1,java.util.ArrayList,ArrayList is not thread-safe.
144179,2,0,0,java.util.ArrayList,It turned out that ArrayList is not too big < 100 bytes.
25913061,2,0,0,java.util.ArrayList,"example:  File curfolder = new File( ""C:\\Users\\username\\Desktop""); File[] file = curfolder.listFiles(); ArrayList filename = Arrays.asList(file); above code generate warning because ArrayList is not of specific type."
13681465,2,0,2,java.util.ArrayList,On the other hand ArrayList is not synchronized and fast which makes it obvious choice in a single-threaded access environment.
303141,2,1,12,java.util.ArrayList,"Cloning the ArrayList is not ""deep""; it will only clone the references to the object."
7710830,2,0,5,java.util.ArrayList,For the mutable objects we cannot use ArrayList(Collection) constructor because it will simple refer to the original list element and will not copy.
962779,2,1,2,java.util.ArrayList,"However, sorting an ArrayList does not need clone() if you invoke the standard sorting mechanisms of Collections."
986959,2,0,14,java.util.ArrayList,"That would fit with ""equals works but contains doesn't because your tests probably call the strongly-typed equals, but ArrayList doesn't."
1005558,2,0,1,java.util.ArrayList,"If the object were no longer there, you couldn't retrieve the ArrayList from it at all."
1074176,2,0,2,java.util.ArrayList,"I assume the problem is somehow related to type erasure, as ArrayList is not parametrized as a Scala array would be, but, rather, it's an existential type."
1130571,2,0,2,java.util.ArrayList,In my opinion an ArrayList isn't the best datastructure for keeping a dictionary with only contains and adds.
12986375,2,0,0,java.util.ArrayList,"Still, there are some problems if you use arrays within arrays (or ArrayLists), because a clone() of the container array (or ArrayList) won't copy their values, only their references!"
1288388,2,0,2,java.util.ArrayList,"Arrays can deal with primitives, something an ArrayList cannot (although there are third party collection classes that wrap primitives, they aren't part of the standard collections API)."
1290692,2,0,0,java.util.ArrayList,"An ArrayList doesn't have to declare the type of its contents when the ArrayList is declared, you must insert an item into a specific location in an array."
1337748,2,0,5,java.util.ArrayList,"This allocates space for the fields of an ArrayList, which don't depend on the number of elements in the ArrayList, and in addition, it will create enough space for references to 10 objects, which don't depend on the size of the objects themselves; the pointers will be 32 bits on a 32-bit system, and 64 bits (or maybe compressed to something less by a really smart VM someday) on a 64-bit system."
1348326,2,0,14,java.util.ArrayList,"A LinkedList makes a good stack or queue, an ArrayList makes a good stack but a horrific queue (again, a remove would cause a shift of the entire list) so LinkedList implements the Queue interface, ArrayList does not."
1355627,2,1,6,java.util.ArrayList,ArrayList is not a MyList.
1355627,2,1,6,java.util.ArrayList,Obviously ArrayList does not have the foo() method.
1355629,2,0,1,java.util.ArrayList,You can't cast an ArrayList<String> into a MyList because MyList is not a super-class or super-interface of ArrayList<String>.
1419817,2,0,3,java.util.ArrayList,"Something like an ArrayList doesn't really like removing things from the front multiple times, because it copies all the rest of the data down each time."
1519111,2,0,4,java.util.ArrayList,I wouldn't try to recover from an OutOfMemoryError as some objects might end up in an undefined state (just thinking about an ArrayList that couldn't allocate its array to store date for instance).
1658745,2,0,0,java.util.ArrayList,"The methods of ArrayList aren't synchronized, so you would need to synchronize all access yourself."
1672272,2,0,0,java.util.ArrayList,Final means just that you can't change which ArrayList instance your variable refers to.
1770043,2,0,1,java.util.ArrayList,"If you call addStudent, a new student will be added to the students list, but the fields ArrayList will not be modified (based on the code given)."
1784576,2,0,0,java.util.ArrayList,"However, if the EJB spec is at issue, storing state like an ArrayList isn't compliant as well, so if you are just reading some static variable anyway, specifically using a container Timer service is likely overkill."
1866482,2,0,3,java.util.ArrayList,Put a breakpoint in your equals method and see if anything wrong isn't happening Make sure your implementation of equals on Car is correct Check if there are no transient fields Check if what you expect to be an ArrayList isn't actually PersistentBag.
1930742,2,0,1,java.util.ArrayList,I wouldn't return an ArrayList explictly as the caller should know or expect a specific collection type.
1971553,2,1,6,java.util.ArrayList,"ArrayList doesn't need a loadFactor as it always grows when it is 100% filled, so you can create it with exactly the size you know in advance and it won't grow if you fill that many elements in later."
2082488,2,1,6,java.util.ArrayList,"EDIT: saw that ArrayList is not in J2ME, but based on documentation, it does have a Vector."
2104747,2,0,4,java.util.ArrayList,ArrayList is not synchronized via http://java.sun.com/javase/6/docs/api/java/util/ArrayList.html
2104777,2,0,2,java.util.ArrayList,ArrayList is not synchronized out of the box.
2147716,2,1,1,java.util.ArrayList,Each iteration over an ArrayList doesn't return a Map.Entry object at all as you seem to think.
2185879,2,0,3,java.util.ArrayList,Note that the newly created ArrayList is not assigned to a field or variable.
2388984,2,0,3,java.util.ArrayList,"The members of an ArrayList aren't protected by any memory barriers, so there is no guarantee that changes to them are visible between threads."
17399230,2,0,7,java.util.ArrayList,"I disagree with the previous answers suggesting ArrayList, because ArrayList is not a Dynamic Array but a List backed by an array."
2440857,2,1,1,java.util.ArrayList,"In general, mutable objects won't affect your use of ArrayList: you can insert mutable objects, add(object), access mutable objects using their index, get(index), and delete mutable objects using their index, remove(index), without any side effect because ArrayList does not call equals() for these methods."
2441322,2,0,2,java.util.ArrayList,ArrayList does not implement Iterator.
2486321,2,0,25,java.util.ArrayList,"In terms of just ArrayList<T> (Java) and List<T> (.NET), a couple of differences:  Java lists override equals/hashCode, whereas they don't in .NET ArrayList<T> grows by multiplying the current capacity by 3/2; .NET's List<T> doubles the current capacity instead  Of course there are other differences in terms of the APIs exposed - if you could give more information about the kind of difference you're interested in, we could help more."
2557874,2,0,1,java.util.ArrayList,"This is because the ArrayList is not null, it holds five objects (all are null), anyway an ArrayList never will have a null size, at least the size is 0 (zero), and if the ArrayList is not initialized (is null) and you try to access to the function size() it will threw a NullPointerException."
2599489,2,0,1,java.util.ArrayList,I mean calling the clone on an ArrayList is not a matter but calling it on a Collection could be dangerous since another Collection implementation could be introduced by another developper (he can even extends a Collection impl) and nothing tells you that the clone of this impl will work like you expect it to do...
2599637,2,1,4,java.util.ArrayList,ArrayList does not extend MyCollection.
2607006,2,0,1,java.util.ArrayList,"Maybe you can just use ArrayList, shouldn't be much difference in performance compared to a plain array."
2673511,2,0,4,java.util.ArrayList,"An ArrayList doesn't automatically shrink back, as far as i know."
2716009,2,0,0,java.util.ArrayList,The standard ArrayList is not thread-safe and the behavior when multiple threads update at the same time is undefined.
2716025,2,0,3,java.util.ArrayList,The behavior is probably undefined since ArrayList isn't threadsafe.
28007401,2,0,0,java.util.ArrayList,Thus it proves that concurrent updates of ArrayList will not give correct results.
2770146,2,0,1,java.util.ArrayList,"ArrayList is not thread safe, so it is slightly faster than Vector (depends on the situation, may be 0% difference, may be 5% difference)."
2787405,2,1,17,java.util.ArrayList,"ArrayList doesn't let you customize its growth policy, since you're not even supposed to know (nor care, really!)."
2793017,2,0,1,java.util.ArrayList,"ArrayList is not an abstract type and extends List, so it is appropriate in this context."
2798636,2,0,0,java.util.ArrayList,"However, using that method leaves the structure in a seemingly inconsistent state  the size of the backing array is increased the size field on the ArrayList isn't."
2800836,2,0,4,java.util.ArrayList,"The new ArrayList will be allocated from some different part of the memory, the reference is changed to point to it, and if the old ArrayList is not anymore referred by something else, it will be garbage collected."
2873007,2,1,4,java.util.ArrayList,"An ArrayList can't contain int values, as it's backed by an Object[] (even when appropriately generic)."
2878253,2,0,1,java.util.ArrayList,Both TreeSet and ArrayList are not very 'heavy' in terms of space; which is faster depends on the use case.
2890086,2,0,2,java.util.ArrayList,It means you don't break client code if you ever decide that ArrayList wasn't the correct thing to use in this situation.
2917925,2,0,1,java.util.ArrayList,"I'm not sure if there's any function in ArrayList that isn't in List, but if there is, the same reasoning would apply."
2986315,2,0,46,java.util.ArrayList,"The difference is that access to a Vector is synchronized, whereas access to an ArrayList is not."
20517834,2,0,7,java.util.ArrayList,"Vector is synchronized by default, and ArrayList is not."
3236530,2,0,3,java.util.ArrayList,Note that you can't use an ArrayList because this is backed by an array and an arrays maximum size is limited to Integer.MAX_VALUE.
3289744,2,0,1,java.util.ArrayList,"What happens here that is perhaps unintuitive, and perhaps could be improved on, is that ArrayList does not implement map."
