PostId,TypeId,IsBest,Score,API,Sentences
24583680,2,0,2,java.util.HashMap,1) first difference is HashMap is not thread safe   While HashTable is ThreadSafe 2) HashMap  performance wise is better because it is not thread safe.
10372667,2,0,14,java.util.HashMap,HashMap doesn't guarantee the order in which elements are returned.
25348157,2,0,2,java.util.HashMap,"One of the major differences between HashMap and Hashtable is that HashMap is non-synchronized whereas Hashtable is synchronized, which   means Hashtable is thread-safe and can be shared between multiple   threads but HashMap cannot be shared between multiple threads without   proper synchronization."
25348157,2,0,2,java.util.HashMap,HashMap does not guarantee that the order of the map will remain constant over time.
40512,2,0,13,java.util.HashMap,"Hashtable is synchronized, whereas HashMap isn't."
26291777,2,0,0,java.util.HashMap,"Check Here  Synchronization or Thread Safe : One of the major differences between   HashMap and Hashtable is that HashMap is non-synchronized whereas   Hashtable is synchronized, which means Hashtable is thread-safe and   can be shared between multiple threads but HashMap cannot be shared   between multiple threads without proper synchronization."
26291777,2,0,0,java.util.HashMap,Default Capacity:  Hashmap: static final int DEFAULT_INITIAL_CAPACITY   =16  static final float DEFAULT_LOAD_FACTOR = 0.75f;  Hashtable:  static final int DEFAULT_INITIAL_CAPACITY = 11;   static final float   DEFAULT_LOAD_FACTOR = 0.75f; HashMap does not guarantee that the order of the map will remain   constant over time.
16018266,2,0,5,java.util.HashMap,"If you don't require thread safety, use HashMap which isn't threadsafe but faster and uses less memory."
22491742,2,0,4,java.util.HashMap,"My small contribution :   First and most significant different between Hashtable and HashMap is that, HashMap is not thread-safe  while Hashtable is a thread-safe collection."
22491742,2,0,4,java.util.HashMap,"Second important difference between Hashtable and HashMap is performance, since HashMap is not synchronized it perform better than Hashtable."
40878,2,1,1795,java.util.HashMap,"There are several differences between HashMap and Hashtable in Java:  Hashtable is synchronized, whereas HashMap is not."
104398,2,0,1,java.util.HashMap,"Be warned that even in single-threaded code, replacing a ConcurrentHashMap with a HashMap may not be safe."
104398,2,0,1,java.util.HashMap,HashMap does not forbid them (don't ask).
113581,2,0,1,java.util.HashMap,"As you specifically asked for collections, I'd like to add an aspect that the other answers haven't mentioned yet: A HashMap doesn't expect their keys to change their hashcode once they are added to the collection."
20730236,2,0,0,java.util.HashMap,"It's a bit hacky, since HashMap doesn't let us access it's table directly, but it should work just fine."
237498,2,0,1,java.util.HashMap,Random thought:  The hash buckets associated with HashMap are not particularly memory efficient.
6540791,2,0,1,java.util.HashMap,"In general, if you want to use the ConcurrentHashMap make sure you are ready to miss 'updates' (i.e. printing contents of the HashMap does not ensure it will print the up-to-date Map) and use APIs like CyclicBarrier to ensure consistency across your program's lifecycle."
537957,2,0,7,java.util.HashMap,A HashMap is not an efficient data structure for finding keys that lie within a certain range.
678842,2,1,64,java.util.HashMap,"you can't supply a HashMap<String, String>."
816806,2,0,3,java.util.HashMap,Database systems are designed for efficient access to on-disk data; a HashMap isn't.
865446,2,0,0,java.util.HashMap,HashMap isn't deliberately big and slow...
903474,2,0,1,java.util.HashMap,"As long as the two key objects return the same hashCode() value, and the equals() method say they are equal, your HashMap will not create another entry for it."
1361810,2,0,2,java.util.HashMap,"HashMap is not synchronized, so it's faster, but you can have problem in a multi-thread environment."
1474099,2,1,2,java.util.HashMap,"If you look at the source code, then you can notice that SessionFactory stores created serializers in a HashMap, and HashMap is not a thread-safe object."
1573991,2,0,3,java.util.HashMap,"In other words, the HashMap isn't distributing the entries in seperate buckets for each seperate hashcode, it is grouping them by a proximity, so the more buckets it has, the more spread out the distribution, the less likely that there are collisions."
1791792,2,0,4,java.util.HashMap,"The classes you mentioned -- HashTable, HashSet, and HashMap don't use open addressing, but you could easily create new classes that implemented open addressing and provided the same APIs as those classes."
1838319,2,0,4,java.util.HashMap,"That being said, the most commonly used Map implementations, specifically HashMap are not thread safe."
1881558,2,0,0,java.util.HashMap,"HashMap is not married to any particular ordering, but LinkedHashMap implementation of Map should preserve the order."
2069087,2,0,3,java.util.HashMap,"Second thing, HashMap doesn't use primitive type for keys."
2119888,2,1,2,java.util.HashMap,Because LinkedHashMap will keep the data in insertion order while HashMap won't.
2444259,2,0,0,java.util.HashMap,1) Don't use HashMap to store Facebook parameters.
31455838,2,0,0,java.util.HashMap,"If the HashMap does not find the hash code, it's obvious the key is not contained in the HashMap yet."
2268824,2,0,0,java.util.HashMap,The main differences are:  access to the Hashtable is synchronized on the table while access to the HashMap isn't.
2294556,2,0,5,java.util.HashMap,"(Though it's extremely unlikely that future versions of HashMap would not extend AbstractMap, since there probably some code out there that expects HashMap to be assignable to AbstractMap.)"
2368661,2,0,2,java.util.HashMap,And the contents of a HashMap DO NOT change randomly or spontaneously.
2412160,2,0,8,java.util.HashMap,Each individual HashMap contained in your outer HashMap is not guaranteed to be thread safe unless you use ConcurrentHashMap as suggested in your question.
2414294,2,0,2,java.util.HashMap,"If you have many collisions on the lower bits, the HashMap will not perform well."
2567407,2,0,2,java.util.HashMap,"You can't use a HashMap, because you won't be able to compute a hashcode based on just one element of the tuple."
2688654,2,0,3,java.util.HashMap,This means that HashMap shouldn't change and all changes (initial constructions) should be completed before any reader start to accessing HashMap.
2688654,2,0,3,java.util.HashMap,"Objects which are pointed by HashMap should not change also, so aggressive using final keyword can help you."
2747911,2,0,16,java.util.HashMap,"The serialization form of java.util.HashMap doesn't serialize the buckets themselves, and the hash code is not part of the persisted state."
2817716,2,0,3,java.util.HashMap,HashMap does not sort at all.
2817719,2,0,1,java.util.HashMap,"Some Map implementations such as LinkedHashMap and TreeMap do guarantee a certain order, but HashMap does not."
28228281,2,0,11,java.util.HashMap,TeeMap implements SortedMap and NavigableMap while HashMap doesn't.
2912431,2,0,0,java.util.HashMap,EDIT First I'd read all lines from the file/message and store them as key/value paris in a Hashtable (HashMap is not available on android..).
3020638,2,0,10,java.util.HashMap,"HashMap doesn't have these extra costs (runtime,space) and should prefered over LinkedHashMap when you don't care about insertion order."
