PostId,TypeId,IsBest,Score,API,Sentences
139126,2,0,0,javax.swing.JFrame,If you don't want your JFrame to be maximize-able then then call .setResizable(false); on it.
15035515,2,0,6,javax.swing.JFrame,JFrame doesn't derive from JComponent so you have to use another component in the JFrame to create the key binding.
304729,2,1,2,javax.swing.JFrame,JFrame is not designed to be modal.
431394,2,0,4,javax.swing.JFrame,Don't forget: The JFrame should be created and opened from the EDT.
954709,2,0,0,javax.swing.JFrame,JFrame can not be made transparent as it is a heavyweight component.
972923,2,0,2,javax.swing.JFrame,"Lets way how to create a Window: Ctrl+F don't show JFrame which is the correct answer, but it is just matter of tunning your sense :)  I hope this helps."
1408092,2,0,2,javax.swing.JFrame,"Because the contents ( probably a JPanel ) are ""shadowing"" and consuming the events and they don't reach the JFrame."
1481424,2,0,4,javax.swing.JFrame,"As far as I know, JFrame cannot do Modal mode."
1822000,2,0,1,javax.swing.JFrame,"Other advice:  Don't extend JFrame (or JPanel or similar), unless it is really necessary."
1830675,2,0,2,javax.swing.JFrame,1) A JFrame doesn't have a paintComponent() method so the code you posted won't do anything.
1935729,2,1,1,javax.swing.JFrame,"(As Chad says, by default a JFrame isn't visible, so users won't see anything if you're using it in ""util"" mode)."
1935738,2,0,0,javax.swing.JFrame,"In that case, remember the JFrame won't show up unless you call setVisible(true); So just make sure you never show the frame, and you can use whatever functions you want without it annoying the user."
1937049,2,0,0,javax.swing.JFrame,"But the problem is that since your JFrame is not visible, there is no way to listen to mouse events!!!!"
2021475,2,0,2,javax.swing.JFrame,"Also your JFrame does not have a size set, when I ran this under linux (Java 1.6), it worked but was tiny, you should add a setSize call."
2157762,2,0,16,javax.swing.JFrame,"Also, calling validate on a top-level component (JWindow, JDialog, JFrame) will not necessarily resize that component."
2178803,2,0,1,javax.swing.JFrame,"The error indicates, that JFrame can't be found but it is inside rt.jar."
2353010,2,0,7,javax.swing.JFrame,"One is that JFrame does not have a close method, which has been addressed in the other answers."
2372729,2,0,0,javax.swing.JFrame,"I'd start by changing the extends Applet to extends JFrame However, a JFrame doesn't need or use a public void init() method, so you'll want to move that code somewhere else."
3577487,2,0,4,javax.swing.JFrame,"For me, the JFrame did not detect all exit events properly, but an inner JPanel did, so I passed in two components - one for testing descendants and one for testing the boundary."
4523935,2,0,2,javax.swing.JFrame,"The FrameView has JFrame component, so you shouldn't recreate the JFrame."
2823764,2,0,0,javax.swing.JFrame,"The TransferSupport object holds a reference to the component (in my case a JFrame), which isn't cleared either."
3132005,2,1,6,javax.swing.JFrame,"JFrame shouldn't be popped as long as you don't want two standalone (top-level) applications running at once, that's why JFrames can NOT be modal."
3377967,2,1,1,javax.swing.JFrame,"Don't extend JFrame if you're not changing it's behavior; JPanel is a good container for other components, and it can be displayed in a JFrame."
3525627,2,1,29,javax.swing.JFrame,So here we're just doing a lot of things to the JFrame that don't return anything in particular.
19854700,2,0,5,javax.swing.JFrame,this will launch a java.lang.ClassCastException because JFrame is NOT subclass of JButton.
4606903,2,0,0,javax.swing.JFrame,"Additionally, A JFrame generally doesn't receive actions."
4676586,2,0,2,javax.swing.JFrame,"You can't add a JFrame to anything, including a Container."
4948110,2,0,1,javax.swing.JFrame,You will not be able to get the designer view of Netbeans if your form (JFrame) was not designed with Netbeans.
14387933,2,0,0,javax.swing.JFrame,"Creating a JFrame is not all as hard as people think, all you need is a definition class and a   GUI Class."
9541149,2,0,0,javax.swing.JFrame,"The F in the JFrame can not be lowercased, change it from Jframe to JFrame."
5329316,2,0,0,javax.swing.JFrame,JFrame is a TopLevel Component and therefore usually you don't put a JFrame into another.
5647816,2,1,5,javax.swing.JFrame,If you weren't already extending JFrame you could extend KeyAdapter.
5671453,2,0,0,javax.swing.JFrame,"It just means that the JFrame does not contain the window frame (the title bar, and minimize/restore/maximize icons)."
6001751,2,0,0,javax.swing.JFrame,"Your login form is behaving as a dialog and so shouldn't be a JFrame at all but rather a dialog window such as a JDialog, and what's more, should be one that is modal to the main application window (which is likely a JFrame)."
6318956,2,0,1,javax.swing.JFrame,Buttons shouldn't extend JFrame if all you want to do is use it to create a JButton that you wish to add to another GUI.
6740860,2,1,3,javax.swing.JFrame,I already know that I am supposed to override the paintComponent method  JFrame does not have a paintComponent(...) method.
7008204,2,1,4,javax.swing.JFrame,"And if you don't want your JFrame to be clickable, you should use a modal JDialog , by extending JDialog instead of JWindow."
7009323,2,1,2,javax.swing.JFrame,JFrame is not a modal or 'blocking' component.
7337806,2,1,3,javax.swing.JFrame,"Also, with regards to your update, JFrame does not have a revalidate() function."
7396965,2,0,1,javax.swing.JFrame,JFrame doesn't have a paintComponent() method so don't try to override it.
7586377,2,1,4,javax.swing.JFrame,"JFrame is not a subclass of JComponent, but JList is."
7778517,2,1,5,javax.swing.JFrame,"You shouldn't have a JFrame launching other JFrames, especially if you want the child windows to behave as a modal dialogs -- a dialog that halts the code in the launching window until it has been fully dealt with."
7837311,2,0,0,javax.swing.JFrame,First Note that You can't resize the JFrame if one of the components is the same length as th JFrame.
8078669,2,0,11,javax.swing.JFrame,"JFrame is not a JComponent, it doesn't have a paintComponent method you can override."
8334086,2,1,21,javax.swing.JFrame,"You're trying to display the picture in a paintComponent override, but this method will never get called since your class extends JFrame (eventually) and JFrame doesn't have this method."
8345916,2,0,3,javax.swing.JFrame,"It depends on the feature list that you will have in your second window, If feature list is quite expanded then its better to have it a separate class, also JFrame is not required even JDialog will do."
8524302,2,1,12,javax.swing.JFrame,Caveats though: I don't recommend subclassing JFrame or JDialog unless absolutely necessary.
8623347,2,1,5,javax.swing.JFrame,When you add the JPanel in the constructor your JFrame has not been displayed yet.
8662360,2,1,6,javax.swing.JFrame,"Summary So (generally) for the:  JFrame, don't extend."
8745220,2,1,3,javax.swing.JFrame,"Unfortunately, JFrame is not a JComponent; it has no UI delegate, and its decorations are supplied by the host operating system."
8779718,2,1,3,javax.swing.JFrame,Don't have the JFrame (or better its contentPane) use FlowLayout since this won't give the JFrame the best size for its components.
21398596,2,0,0,javax.swing.JFrame,Changing the code from applet to JFrame is not hard at all.
9118830,2,0,3,javax.swing.JFrame,"1) don't extends javax.swing.JFrame more in Composition versus Inheritance, e.i."
9259509,2,1,1,javax.swing.JFrame,"1) don't use two JFrames, use JDialog with parent / owner for JFrame 2) on some of event (after correct logon) you can remove WindowListener from JFrame (better would be JDialog)"
9438426,2,0,4,javax.swing.JFrame,Don't have one JFrame create and display another JFrame.
11425080,2,0,0,javax.swing.JFrame,"You don't need a JFrame, you actually need a Window."
10861457,2,0,1,javax.swing.JFrame,pack again -- this guarantees only the necessary scrollbars appear (if you don't increase the JFrame sizes then both scrollbars will always appear -- there is also a need to remove the JScrollPane default border).
9635977,2,0,1,javax.swing.JFrame,Some recommendations:  Frame2 shouldn't be a JFrame but rather a modal JDialog as it is dependent on Frame1 and should prevent user interaction with Frame1 until Frame2 has been dealt with.
9708779,2,0,0,javax.swing.JFrame,You can't 'forbid' a JFrame from being moved.
9796853,2,0,2,javax.swing.JFrame,"I'd suggest to use Swing Timer for repeatedly events to the Swing GUI, maybe this example can help you with another yours dreams  JFrame is not possible to be colored, but works for ContentPane g.e.JFrame.getContentPane.setColor(Color.red)"
10107825,2,0,2,javax.swing.JFrame,"Notice that the class isn't public, so any attempt to import it leads to the compilation error ""The type javax.swing.JFrame is not visible."""
10165681,2,1,2,javax.swing.JFrame,"As an aside, I don't recommend extending JFrame or JPanel without good reason such as the need to override methods."
10370202,2,0,5,javax.swing.JFrame,Add and setLayout on JFrame don't do what they appear to.
10421884,2,1,2,javax.swing.JFrame,if your JFrame is not the whole application and you want to stop the Swing thread but continue processing.
10515434,2,0,1,javax.swing.JFrame,"1) you can't move one JFrame toFront() over another JFrame 2) don't create more than one JFrame, there are another issues with this Top-Level Container as toFront, toBack 3) you have look at JDialog or JWindow as another Window  with parent to the JFrame with setModal if required with ModalityTypes is required"
10588595,2,1,3,javax.swing.JFrame,Don't extend JFrame or JDialog or JWindow
10746564,2,1,3,javax.swing.JFrame,Don't extend JFrame if you are not extending its functionality.
10881285,2,1,6,javax.swing.JFrame,"One more - your ""paintComponent"" method won't work on JFrame since JFrame does NOT extend JComponent."
10984619,2,0,0,javax.swing.JFrame,A JFrame shouldn't have a socket in it.
11268727,2,0,10,javax.swing.JFrame,"Don't extend a JFrame, but instead create a local JFrame variable and use it."
11338271,2,0,0,javax.swing.JFrame,"Here is some code that doesn't ""import"" JFrame, it uses its fully qualified name to extend itself so that it has access to every method/variable inside the JFrame class (as long as the modifier is public or protected)."
11367422,2,1,5,javax.swing.JFrame,"don't use JFrame for another window, because you can't to set parent v.s.owner, use JDialog instead then JFrame.getOwnedWindows() returns all instances of JDialog(s) where is used JDialog(myFrame owner) in all cases Window[] allWindows = Window.getWindows(); returns all instances from current JVM, returns all instances of (J)Frames, (J)Dialogs, (J)Windows or JOptionsPanes"
11463065,2,0,4,javax.swing.JFrame,"Don't mix Swing (JFrame) with AWT (Canvas) components unless you have a compelling reason to do so, otherwise you're just asking for unusual hard to debug trouble."
11552791,2,1,1,javax.swing.JFrame,"I tried before, repaint JFrame doesn't seems to works, but repaint JPanel works."
11568376,2,0,3,javax.swing.JFrame,check also this topic: setSize() doesn't work for JFrame
11856562,2,1,3,javax.swing.JFrame,Additional Ideas I wouldn't override JFrame in this manner.
11869464,2,1,4,javax.swing.JFrame,"JFrame is not a component, therefor there's no paintComponent() function for it."
11998912,2,1,3,javax.swing.JFrame,So JFrame does not have a method or property called txt_jtextfield Not knowing how you actually build this JFrame it becomes difficult to know what to suggest.
11998912,2,1,3,javax.swing.JFrame,"Then it's up to the frame to provide access to the field (either by making it public, or, more preferably, by a getter) You really need to provide more information about where the text field exists and in what context you are trying to access it UPDATED You can't use a JFrame in this manner."
12012066,2,0,2,javax.swing.JFrame,please note that JFrame is NOT a JComponent!
12117933,2,0,5,javax.swing.JFrame,"JFrame does not have a paintComponent, so I used a JPanel instead."
12118001,2,0,6,javax.swing.JFrame,"Now, firstly, I will tell you what you're doing wrong here -- JFrame is not a JComponent, and has no paintComponent for you to override."
12246139,2,1,4,javax.swing.JFrame,change paintComponent(Graphic g) to paint(Graphic g) because JFrame is not a JComponent.
12428925,2,1,7,javax.swing.JFrame,but extending a JFrame is not recommended
12612129,2,1,2,javax.swing.JFrame,"Your gw object, despite being an instance of JFrame, is not the JFrame which you are displaying, because in your GenerateWorld constructor, a JFrame local to the constructor itself is created, designed, and shown."
12875390,2,1,3,javax.swing.JFrame,In Swing the preferred approach is to override paintComponent although since JFrame is not actually a JComponent this method will not be called.
13031237,2,1,6,javax.swing.JFrame,Don't extend JFrame class unnecessarily.
13031237,2,1,6,javax.swing.JFrame,see here for good tutorials:  A Visual Guide to Layout Managers Using Layout Managers  Don't call JFrame#setSize(..) on JFrame rather just call JFrame#pack() before setting JFrame visible.
13087680,2,0,1,javax.swing.JFrame,The good practice is to favour composition over inheritance: don't extend JFrame but delare a JFrame yourFrame; member in your class instead.
13238468,2,0,5,javax.swing.JFrame,Do not override paint() in JFrame Do not call setSize() on JFrame rather use JFrame#pack() before setting it visible Get into the habit of using / as regardless of platform this is supported.
