PostId,TypeId,IsBest,Score,API,Sentences
336709,2,0,1,javax.xml.bind.JAXB,"In case of web services JAXB doesn't come alone, but as data binding part of ws client framework."
12107794,2,0,2,javax.xml.bind.JAXB,Demo MOXy doesn't just interpret JAXB annotations it is a JAXB implementation so the standard JAXB runtime APIs are used.
670401,2,0,3,javax.xml.bind.JAXB,"Interfaces, of course, don't need any JAXB annotations."
736501,2,0,1,javax.xml.bind.JAXB,"I haven't looked at JAXB in a while, when I did it was fairly bad compared to XMLBeans, but that was years ago (and I prefer to use things that are in the JDK as opposed to 3rd party ones, but I still use XMLBeans to this day)."
2172942,2,1,146,javax.xml.bind.JAXB,"The annotation is just a convenience, however - JAXB does not require it."
1367405,2,0,23,javax.xml.bind.JAXB,"As @Chris pointed out, sometimes JAXB cannot work with POJOs, because the schema cannot be mapped exactly on to Java."
964102,2,0,0,javax.xml.bind.JAXB,JAXB will not be able to parse anything wrapped in a CDATA declaration: the XML parser will always report the string.
1034405,2,0,3,javax.xml.bind.JAXB,"To get around this, JAXB doesn't even try to instantiate the property class (e.g."
1043807,2,1,46,javax.xml.bind.JAXB,"OK, this took quite some digging, but the answer is not that surprising and not even that complicated: JAXB can't find jaxb.index, because by default, newInstance(String) uses the current thread's class loader (as returned by Thread.getContextClassLoader())."
1315793,2,1,2,javax.xml.bind.JAXB,"I prefer the javax.oxm interfaces, because I don't care for JAXB, but that's a personal opinion."
1454367,2,1,1,javax.xml.bind.JAXB,"If you have just a List of type Query, JAXB will not be able to determine what types of queries you want to put into the list."
3234392,2,0,0,javax.xml.bind.JAXB,JAXB does not support marshaling/marshaling to/from CDATA xml types.
1581506,2,0,9,javax.xml.bind.JAXB,"If you have many namespaces, then JAXB isn't really the tool for you."
1625604,2,0,0,javax.xml.bind.JAXB,Any elements in the input XML which JAXB does not recognise will simply be ignored.
1640701,2,1,4,javax.xml.bind.JAXB,"So you may know that good XML input conforms to the schema at runtime, but JAXB does not."
17402537,2,0,1,javax.xml.bind.JAXB,JAXB doesn't require XML schema to work.
13646571,2,0,1,javax.xml.bind.JAXB,"If you don't use JAXB annotated objects, but simple POJO's, you can get the correct behaviour by simply enabling the POJO mapping feature, together with the Jackson JSON library."
2269501,2,0,4,javax.xml.bind.JAXB,"JAXB cannot marshal any old object, since it doesn't know how."
2312238,2,0,3,javax.xml.bind.JAXB,"Secondly, you may not have schema validation on; then JAXB will not complain if your documents are broken."
2326480,2,1,15,javax.xml.bind.JAXB,"The problem here is that JavaSE 6 doesn't have the JAXB RI (it has a JAXB implemenation but not JAXB RI) so if you want to rely on RI specific feature, you should bundle JAXB RI in your application (and that would protect you from JAXB changes in Java SE)."
8847862,2,0,5,javax.xml.bind.JAXB,"I wasn't sure if JAXB handles cyclic graphs, so I didn't attempt recursion without knowing if that had to be dealt with."
4784739,2,0,5,javax.xml.bind.JAXB,It seems that GSon don't support JAXB.
2388824,2,1,4,javax.xml.bind.JAXB,"You can't distribute JAXB itself without source, though."
2519463,2,0,10,javax.xml.bind.JAXB,"JAXB cannot marshal Date objects directly, because they don't have enough information to be unambiguous."
2667745,2,1,11,javax.xml.bind.JAXB,"This does require the ObjectFactory to be there, otherwise, JAXB doesn't know which classes to process."
2716835,2,0,0,javax.xml.bind.JAXB,"JAXB will not generate a class for anything that already has a type, and neither do you need one."
10420917,2,0,1,javax.xml.bind.JAXB,The secret is.... don't use JAXB.
2875473,2,1,2,javax.xml.bind.JAXB,"JAXB doesn't use xmlns = ""namespace"" in your case because xmlns = ""namespace"" also specifies namespace for the child elements, then your first and last elements are in default namespace (because @XmlRootElement doesn't specify namespace for the child elements)."
2919356,2,1,14,javax.xml.bind.JAXB,"On the other hand, if   it is set to true, then JAXB will not   write its own XML preamble, so this   property may contain custom XML   preamble."
