PostId,TypeId,IsBest,Score,API,Sentences
7539,1,0,27,java.math.BigDecimal,"Is it used for rounding in java.math.BigDecimal, if yes why does not it round the decimal digits but even mentissa part."
4194330,2,0,32,java.math.BigDecimal,"For rounding just the fractional part of a BigDecimal, check out the BigDecimal.setScale(int newScale, int roundingMode) method."
4194330,2,0,32,java.math.BigDecimal,The result of this is a BigDecimal with the value 1.24 (because of the rounding up rule)
7552,2,0,1,java.math.BigDecimal,"Actually I found some online example, which stated the use of MathContext to round the amounts/numbers stored in BigDecimal."
7552,2,0,1,java.math.BigDecimal,"For example, If MathContext is configured to have precision = 2 and rounding mode = ROUNDHALFEVEN BigDecimal Number = 0.5294, is rounded to 0.53 So I thought it is a newer technique and used it for rounding purpose."
7561,2,1,22,java.math.BigDecimal,Can you please explain me MathContext in the context of BigDecimal#round method.
7561,2,1,22,java.math.BigDecimal,There's nothing special about BigDecimal.round() vs. any other BigDecimal method.
16816,2,0,0,java.math.BigDecimal,"As mentioned above, you need to be aware of the contract with hashCode, and similarly, watch out for the gotchas around the Comparable interface - in almost all situations you want the natural ordering as defined by Comparable to be consistent with equals (see the BigDecimal api doc for the canonical counter example) Creating a new method for deciding equality, quite apart from not working with the existing library classes, flies in the face of Java convention somewhat."
2504988,2,0,2,java.math.BigDecimal,Have those people ever stopped to look at some Java code doing some basic maths like increasing a financial value by a percentage using BigDecimal ?
194889,2,0,435,java.math.BigDecimal,"The BigInteger and BigDecimal classes of Java suffer from the same confusing verbosity, whereas their equivalent in C++ are as clear as built-in types."
194889,2,0,435,java.math.BigDecimal,"Some objects would greatly benefit from operator overloading (concrete or numerical types, like BigDecimal, complex numbers, matrices, containers, iterators, comparators, parsers etc.)."
77811,2,0,2,java.math.BigDecimal,"Also assuming that Complex is immutable as the mentioned BigInteger and similar immutable BigDecimal, I'd I think you mean the following, as you're assigning the reference to the Complex returned from adding b and c, and not comparing this reference to a."
86531,1,0,4,java.math.BigDecimal,Trying to keep all the presentation stuff in the xhtml on this project and I need to format some values in a selectItem tag have a BigDecimal value and need to make it look like currency.
108980,2,0,6,java.math.BigDecimal,or is there a maximum precision on BigDecimal values?
12600683,2,0,2,java.math.BigDecimal,The explanation for this is given in the book 'Effective Java' Consider BigDecimal and BigInteger classes in Java .
12600683,2,0,2,java.math.BigDecimal,"It was not widely understood that immutable classes had to be effectively final  when BigInteger and BigDecimal were written, so all of their methods may be  overridden."
