PostId,TypeId,IsBest,Score,API,Sentences
154588,2,1,11,java.nio.ByteBuffer,Could not get the example to work using FileChannel.read(ByteBuffer) because it isn't a blocking read.
28684,2,1,6,java.nio.ByteBuffer,I would say don't create a huge ByteBuffer that contains ALL of the data at once.
28684,2,1,6,java.nio.ByteBuffer,"Create a much smaller ByteBuffer, fill it with data, then write this data to the FileChannel."
28684,2,1,6,java.nio.ByteBuffer,Then reset the ByteBuffer and continue until all the data is written.
140145,2,0,0,java.nio.ByteBuffer,"For instance, writing a non-direct ByteBuffer to a SocketChannel creates a direct buffer under the covers to use for the actual I/O operation."
55369,1,0,2,java.nio.ByteBuffer,"I've been able to view some of my own classes in a hex editor and use Java's ByteBuffer class to read them in (with automatic endianness conversions, etc)."
534040,2,0,5,java.nio.ByteBuffer,If you call ByteBuffer.allocateDirect() and you get an OutOfMemoryError you can find this call is fine after triggering a GC manually.
93685,2,1,7,java.nio.ByteBuffer,"You have to know what the encoding of the file is, and then decode the ByteBuffer into a CharBuffer using that encoding."
9628316,2,0,0,java.nio.ByteBuffer,"I'd recommend only using this if you need to support converting between two character encodings, otherwise a ByteBuffer/Channel or byte[]/IOStream implementation would be preferable even if you're piping characters."
158121,1,0,3,java.nio.ByteBuffer,"I then fill  a ByteBuffer with a message to output, and attempt to write() to the SocketChannel."
2530345,2,0,3,java.nio.ByteBuffer,"When you create a duplicate or slice of a ByteBuffer, it does not inherit the value of the order property from the parent buffer, so code like this will not do what you expect: code."
229022,2,0,16,java.nio.ByteBuffer,This example demonstrates how to convert ISO-8859-1 encoded bytes in a ByteBuffer to a string in a CharBuffer and visa versa.
278284,2,0,3,java.nio.ByteBuffer,Here is a link to read byte using a ByteBuffer (Java NIO) http://exampledepot.com/egs/java.nio/ReadChannel.html
2378996,2,0,3,java.nio.ByteBuffer,I would create an object that wraps around a ByteBuffer representation of the data and provide getters to read directly from the buffer.
294720,2,0,1,java.nio.ByteBuffer,"I think that CharBuffer and ByteBuffer (as well as any other xBuffer) were meant for reusability so you can buf.clear() them instead of going through reallocation every time If you don't reuse them, you're not using their full potential and it will add extra overhead."
294469,2,1,15,java.nio.ByteBuffer,"In general, though, CharBuffer (and ByteBuffer) can really simplify APIs and encourage correct processing."
304059,2,0,2,java.nio.ByteBuffer,"If you are trying to transfer from one native stream to another, then you are better off using a ""direct"" ByteBuffer."
17028771,2,0,8,java.nio.ByteBuffer,"Of course, we need to have a lookup table for residues modulo 0xFFFFFF, which is about a 3mb file (in this case stored as ascii text decimal numbers, not optimal but clearly improvable with a ByteBuffer and so forth."
322195,2,0,5,java.nio.ByteBuffer,"ByteBuffer and IntBuffer will do what you need quickly, efficiently, and elegantly."
358457,1,0,14,java.nio.ByteBuffer,I was writing simple ByteBuffer pool where I needed some placeholder for ByteBuffer objects.
358457,1,0,14,java.nio.ByteBuffer,Currently I have used ArrayList to hold these ByteBuffer objects.
402266,2,0,10,java.nio.ByteBuffer,"Usually in the form of byte arrays or ByteBuffer, for network communications of binary data."
463527,2,0,1,java.nio.ByteBuffer,The direct byte buffers allow you to allocate a buffer of some size on either the C++ or Java side and then easily access the buffer from both languages; in Java this is done through methods on the ByteBuffer object and in C++ you can obtain a pointer to the data.
477977,2,0,1,java.nio.ByteBuffer,Maybe java.nio.ByteBuffer is what you are looking for.
478886,2,0,0,java.nio.ByteBuffer,What you can do is construct a direct ByteBuffer at an arbitrary memory address (from a native method).
479648,2,0,0,java.nio.ByteBuffer,"ByteBuffer.wrap(byte[] array) may be useful in interpreting the bytes as chars, ints, longs, etc."
499110,2,0,3,java.nio.ByteBuffer,"I haven't done any NIO programming, but according to the Javadocs, sc.write() will not write the entire ByteBuffer if the SocketChannel is in non-blocking mode (as yours is) and the socket's output buffer is full."
13673366,2,0,1,java.nio.ByteBuffer,I did a study where I compare the write performance to a raw ByteBuffer versus the write performance to a MappedByteBuffer.
13673366,2,0,1,java.nio.ByteBuffer,In my study I also give an example of how to implement asynchronous logging through a lock-free and garbage-free queue for ultimate performance very close to a raw ByteBuffer.
570168,1,0,2,java.nio.ByteBuffer,transferring bytes from one ByteBuffer to another.
570168,1,0,2,java.nio.ByteBuffer,What's the most efficient way to put as many bytes as possible from a ByteBuffer bbuf_src into another ByteBuffer bbuf_dest (as well as know how many bytes were transferred)?
570365,2,1,8,java.nio.ByteBuffer,"with FileInputStream.getChannel) Create a ByteBuffer Create a FloatBuffer wrapping the ByteBuffer, with ByteBuffer.asFloatBuffer Read into the ByteBuffer with FileChannel.read(byteBuffer) Read from the FloatBuffer  I'm not particularly familiar/comfortable with java.nio, so I hope this is all correct - but it's likely to be pretty fiddly."
579600,1,0,16,java.nio.ByteBuffer,How to put the content of a ByteBuffer into an OutputStream?
579600,1,0,16,java.nio.ByteBuffer,I need to put the contents of a java.nio.ByteBuffer into an java.io.OutputStream.
579600,1,0,16,java.nio.ByteBuffer,I can't use the ByteBuffer's array() method since it can be a read-only buffer.
579600,1,0,16,java.nio.ByteBuffer,I also may be interspersing writes to the OutputStream between using this ByteBuffer and having a regular array of byte[] which I can with use OutputStream.write() directly.
579616,2,1,28,java.nio.ByteBuffer,With the WritableByteChannel adapter you can provide the ByteBuffer which will write it to the OutputStream.
