PostId,TypeId,IsBest,Score,API,Sentences
76381,2,0,2,java.sql.ResultSet,"Later, just iterate over ResultSet."
95134,1,0,3,java.sql.ResultSet,"Does the tag access the ResultSet directly, or is the query result being stored in a datastructure in memory?"
95813,2,0,1,java.sql.ResultSet,"But a ""simple"" solution to your problem would be to create a custom Iterator that ""knows"" about your ResultSet."
95984,2,1,8,java.sql.ResultSet,"Observations based on the source for org.apache.taglibs.standard.tag.common.sql.QueryTagSupport The taglib traverses through the ResultSet and puts all of the data in arrays, Maps, and Lists."
103938,1,0,43,java.sql.ResultSet,ResultSet not closed when connection closed?
103938,1,0,43,java.sql.ResultSet,"I figured out that the ResultSet and Statement were not closed, so I closed them in finally: code."
103994,2,0,20,java.sql.ResultSet,So: Always close your ResultSet!
119086,2,0,1,java.sql.ResultSet,I don't know if this is a complete solution ... but you can determine if a table is a system table by reading the table_type column of the ResultSet returned by getTables: code.
139085,2,0,1,java.sql.ResultSet,That means you have to check the Connection/Statement/ResultSet's SQLWarnings  code.
135008,2,0,1,java.sql.ResultSet,"Take a look at the java.sql.PreparedStatement class, specifically the function http://java.sun.com/javase/6/docs/api/java/sql/PreparedStatement.html#setBinaryStream(int,%20java.io.InputStream) Then take a look at the java.sql.ResultSet class, specifically the function http://java.sun.com/javase/6/docs/api/java/sql/ResultSet.html#getBinaryStream(int) Keep in mind that if you are serializing an object into a database, and then you change the object in your code in a new version, the deserialization process can easily fail because your object's signature changed."
162581,2,0,16,java.sql.ResultSet,"EDIT: Using a scrollable ResultSet you can :) Indeed, I asked this very question in the Java databases newsgroup a long time ago (back in 2001!)"
162597,2,0,3,java.sql.ResultSet,"), you can call ResultSet.afterLast() ResultSet.getRow() ResultSet.beforeFirst()."
16268359,2,0,2,java.sql.ResultSet,"//Create a Statement class to execute the SQL statement Statement stmt = con.createStatement(); ResultSet rs = stmt.executeQuery(""SELECT COUNT(*) AS COUNT FROM   TABLENAME""); code."
177450,2,0,5,java.sql.ResultSet,"Since the JDBC driver has to read the record from the DB, it can make them EASILY available to the ResultSet reader FIRST COME FIRST SERVE."
177450,2,0,5,java.sql.ResultSet,Then came the updatable ResultSets where you can update the columns/rows of a ResultSet.
184001,2,0,0,java.sql.ResultSet,"The same pattern goes for Datasource, Connection, Statement, ResultSet."
186799,1,0,23,java.sql.ResultSet,ResultSet: Retrieving column values by index versus retrieving by label.
402586,2,0,2,java.sql.ResultSet,In our code we have a ResultSet with numerous colums and a huge number of rows.
17312976,2,0,2,java.sql.ResultSet,"From the java documentation:  The ResultSet interface provides getter methods (getBoolean, getLong, and so on) for retrieving column values from the current row."
192078,1,0,160,java.sql.ResultSet,How do I get the size of a java.sql.ResultSet?
15919915,2,0,5,java.sql.ResultSet,"Well, if you have a ResultSet of type ResultSet.TYPE_FORWARD_ONLY you want to keep it that way (and not to switch to a ResultSet.TYPE_SCROLL_INSENSITIVE or ResultSet.TYPE_SCROLL_INSENSITIVE in order to be able to use .last())."
