PostId,TypeId,IsBest,Score,API,Sentences
43807,2,1,87,java.text.SimpleDateFormat,See SimpleDateFormat javadoc for more.
43842,1,0,5,java.text.SimpleDateFormat,It looks like:  Thu Nov 30 19:00:00 EST 2006 I'm trying to create a Date object using SimpleDateFormat and have 2 problems.
43842,1,0,5,java.text.SimpleDateFormat,I can't figure out the pattern to hard-code the solution into the SimpleDateFormat constructor 2.)
43852,2,1,7,java.text.SimpleDateFormat,The format to pass to SimpleDateFormat could be looked up at http://java.sun.com/javase/6/docs/api/java/text/SimpleDateFormat.html code.
43869,2,0,0,java.text.SimpleDateFormat,How about: EEE MMM dd HH:mm:ss zzz yyyy Just pass the string into the constructor of SimpleDateFormat.
43869,2,0,0,java.text.SimpleDateFormat,You could take a look at: http://java.sun.com/j2se/1.4.2/docs/api/java/text/SimpleDateFormat.html
74694,2,0,0,java.text.SimpleDateFormat,"However, when you construct your date with SimpleDateFormat, no milliseconds are passed to it Am I missing the question here?"
76006,2,0,0,java.text.SimpleDateFormat,Use the SimpleDateFormat.format() method instead.
85701,1,0,6,java.text.SimpleDateFormat,"I have a database field that contains a raw date field (stored as character data), such as   Friday, September 26, 2008 8:30 PM Eastern Daylight Time  I can parse this as a Date easily, with SimpleDateFormat code."
85701,1,0,6,java.text.SimpleDateFormat,"Besides tokenizing the raw string and finding the start position of the Timezone string (since I know the format will always be EEEE, MMMM dd, yyyy hh:mm aa zzzz) is there a way using the DateFormat/SimpleDateFormat/Date/Calendar API to extract a TimeZone object - which will have the same TimeZone as the String I've parsed apart with DateFormat.parse()?"
86303,2,0,1,java.text.SimpleDateFormat,"Looking at the source for DateFormat and SimpleDateFormat, seems like getTimeZone() just returns the TimeZone of the underlying Calendar... which will default to the Calendar of the default Locale/TimeZone unless you specify a certain one to use."
87900,2,0,0,java.text.SimpleDateFormat,"If this seems daunting, you can use Calendar and SimpleDateFormat under the hood."
87751,2,1,9,java.text.SimpleDateFormat,I personally just use Gregorian Calendar and SimpleDateFormat any time I need to manipulate dates/times in Java.
99152,2,0,0,java.text.SimpleDateFormat,The JavaDoc for SimpleDateFormat provides information on date and time pattern strings.
99175,2,1,20,java.text.SimpleDateFormat,"Using the standard JDK, you will want to use java.text.SimpleDateFormat code."
99175,2,1,20,java.text.SimpleDateFormat,It is strictly for formatting dates and does not support parsing like SimpleDateFormat does in the following example: code.
129197,2,1,29,java.text.SimpleDateFormat,SimpleDateFormat.
129229,2,0,23,java.text.SimpleDateFormat,The DateFormat class or SimpleDateFormat should get you there.
131024,2,0,2,java.text.SimpleDateFormat,One gotcha to be aware of is that SimpleDateFormat is NOT thread-safe.
158935,1,0,4,java.text.SimpleDateFormat,"Why I can't parse a SimpleDateFormat with pattern ""MMMMM dd"" in Java?"
158935,1,0,4,java.text.SimpleDateFormat,I use SimpleDateFormat.
158935,1,0,4,java.text.SimpleDateFormat,"I also tried new SimpleDateFormat(""MMMMM' 'dd"")."
166600,1,0,3,java.text.SimpleDateFormat,"In java, when using SimpleDateFormat with the pattern: code."
170169,2,0,21,java.text.SimpleDateFormat,SimpleDateFormat is not thread safe.
184678,1,0,0,java.text.SimpleDateFormat,"I'm using SimpleDateFormat with the pattern EEE MM/dd  hh:mma, passing in the date String Thu 10/9  08:15PM and it's throwing an Unparseable date exception."
184678,1,0,0,java.text.SimpleDateFormat,I've used various patterns with SimpleDateFormat before so I'm fairly familiar with its usage.
222245,1,0,19,java.text.SimpleDateFormat,The built-in parser of Java (SimpleDateFormat) is very strict.
223325,1,0,5,java.text.SimpleDateFormat,"can think of 3 ways to do it: 1) if locale is english, use my custom format string on a new SimpleDateFormat object."
230653,2,0,1,java.text.SimpleDateFormat,Even without the ResourceBundle Class you could use properties files to hold all the SimpleDateFormat formats.
226638,2,1,22,java.text.SimpleDateFormat,See the javadoc for SimpleDateFormat.
226650,2,0,3,java.text.SimpleDateFormat,Look up the correct pattern you want for SimpleDateFormat...
226653,2,0,3,java.text.SimpleDateFormat,SimpleDateFormat
892204,2,0,35,java.text.SimpleDateFormat,"As shown by @Maglob, the basic approach is to test the conversion from string to date using SimpleDateFormat.parse."
892204,2,0,35,java.text.SimpleDateFormat,"However, in practice that is rarely enough since SimpleDateFormat.parse is exceedingly liberal."
