PostId,TypeId,IsBest,Score,API,Sentences
488685,2,0,2,javax.xml.bind.JAXB,Castor and JAXB are other Java libraries that serve a similar purpose to XMLBeans.
733048,2,0,2,javax.xml.bind.JAXB,"Data binding using JAXB or XStream is simple; but for simple straight-forward XML output, I go with StaxMate."
423223,2,0,0,javax.xml.bind.JAXB,"That's quite low-level, still; if you want simpler approach, XStream and JAXB are my favorites."
30673,2,0,1,javax.xml.bind.JAXB,JAXB.
30673,2,0,1,javax.xml.bind.JAXB,Then you pass the XSD to the JAXB compiler and the compiler creates Java classes to marshal and unmarshal your XML document into Java objects.
30677,2,0,2,javax.xml.bind.JAXB,"But if you are want to deal with Java objects then you should look at Castor, JiBX, JAXB, XMLBeans, XStream, or something similar."
485082,2,0,0,javax.xml.bind.JAXB,"So, JAXB, XStream, JibX are good."
4067429,2,0,12,javax.xml.bind.JAXB,JAXB is part of JDK standard edition version 1.6+.
4067429,2,0,12,javax.xml.bind.JAXB,Simple seems as easy and simpler as JAXB but I could not find any licensing information to evaluate it for enterprise use.
35821,2,1,62,javax.xml.bind.JAXB,"The ""Official"" Java API for this is now JAXB - Java API for XML Binding."
62675,2,0,4,javax.xml.bind.JAXB,Apache digester is fairly easy: http://commons.apache.org/digester/ JAXB is newer and comes with annotation goodness: https://jaxb.dev.java.net
130042,2,0,2,javax.xml.bind.JAXB,Although XStream and JAXB can serialize an some object graphs succssfully they can not handle very complex graphs.
534143,2,0,2,javax.xml.bind.JAXB,Another suggestion: consider using JAXB (http://jaxb.dev.java.net).
534143,2,0,2,javax.xml.bind.JAXB,JAXB is rather fast.
534143,2,0,2,javax.xml.bind.JAXB,Also: one benefit of JAXB is that you can also bind partial document (sub-trees) with it; no need to create object(s) for the whole file.
1467795,2,0,1,javax.xml.bind.JAXB,"As a result, I usually switch to JAXB."
4367547,2,0,2,javax.xml.bind.JAXB,"There are many new features (SOAP/RESTful webservice, JPA entities, JAXB...) depend on it or at least reuse the philosophy of developing."
114688,2,0,8,javax.xml.bind.JAXB,"When you use for example JAXB, the XML representation of a date is also this ISO standard."
114925,2,0,0,javax.xml.bind.JAXB,"java.sql.Date already implements Serializable so no need to implement it :-) As far as your main question is concerned, I'm deeply in love with JAXB as I can turn almost any XML into an object, so it might be worth your while to look into it."
26675349,2,0,0,javax.xml.bind.JAXB,"XSOM is used by XJC, JAXB schema compiler under the hub so is probably guaranteed to be kept alive."
121803,2,0,2,javax.xml.bind.JAXB,"If your service uses JAXB for xml binding, you can create a JAXBContext to serialize and deserialize inputs and outputs from the HTTP request."
122209,2,1,59,javax.xml.bind.JAXB,"The easiest way to get hold of it is as part of the JAXB 2 RI - the XJC schema-to-java generator uses CodeModel to generate its java source, and it's part of the XJC jars."
132409,1,0,1,javax.xml.bind.JAXB,JAXB 2 in an Oracle 10g Webapp.
132409,1,0,1,javax.xml.bind.JAXB,I have a web application that uses JAXB 2.
132409,1,0,1,javax.xml.bind.JAXB,"It turns out that Oracle includes JAXB 1 in a jar sneakily renamed ""xml.jar""."
